[General]
Dat File Version=	4
Specimen Group=
Component=
Material=	HC550 980DPD+Z
Operator Name=	wANGCHEN
Comments=
Test Date=	15/10/2012
Test Time=	09:25:56
Setup File=	C:\Program Files\Instron\HighRate\Tensile Test\Test Files\120301 -1fa.tst
Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Tension 1 Valve.cal
Velocity Calibration File Date Modified=	27/03/2012 12:55:02
Transducer Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Kistler_Tens100kN.tcl
Transducer Calibration File Date Modified= 	04/06/2012 15:02:05
Geometry Type=	0
Direct Area=30.150000	~mm²
Gauge Length=	20.0	~mm
Trigger Type=	Analog
Trigger Channel=	Position
Trigger Level=	-10.000000
Test Direction=	Tension
Actuator Displacement=	200.000000
Velocity=	1.000000
VHS Profiler=	OFF
VHS Profiler File=
Unit System=	0
Load Units=	kN
Extension Units=	mm
Accelerometer Units=	g
Drive Units=	V
Time Units=	s
Numeric Separator=	.
Fiedler Header=	Strain
Number of Pretriggers=	1200
First Pass Filter=	500
Second Pass Filter=	500
Filter Average=	5.000000
Use Second Pass=	False
Time Column=	0
Position Column=	2
Load Column=	3
Accelerometer Column=	4
Trigger Column=	6
Extensometer Column=	9
Position Filtered Column=	1
Valve Drive Column=	5
[Calibration]
Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
15.340000	15.340000	23.300000	-1116.150000	1.000000	1.000000	1.000000	1.000000	0.38648577	0.12034877	0.47774470	1.93242887	7.14347928
0.000000	0.000000	-0.002000	-0.010000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V
[Start of Data]
Time	Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
s	mm	mm	kN	g	V	V	V	V	mm	mm	mm	%	1/s
0.00000000	-49.40083313	-49.43554687	0.38790861	-22.06140327	-2.26074219	4.81445312	-2.37304687	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00003335	-49.36614990	-49.43554687	0.04660000	-0.26159766	-2.26074219	4.81445312	-2.37792969	-0.08789062	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00006670	-49.33129501	-49.13593674	0.16036953	-5.71154881	-2.27539062	4.81933594	-2.34863281	-0.00488281	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00010005	-49.29602051	-49.28574371	0.16036953	-0.26159766	-2.27050781	4.81445312	-2.35351562	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00013340	-49.26029205	-49.51044846	-0.06716953	26.98815727	-2.25585937	4.81933594	-2.36328125	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00016675	-49.22406769	-48.83632660	0.61544764	-5.71154881	-2.29492187	4.81445312	-2.36816406	-0.08789062	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00020010	-49.18664932	-48.83632660	0.04660000	-27.51135445	-2.27539062	4.81445312	-2.39746094	-0.10253906	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00023345	-49.14716721	-48.76142502	0.16036953	-5.71154881	-2.26562500	4.81445312	-2.37792969	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00026680	-49.10564041	-49.06103516	0.16036953	-0.26159766	-2.27050781	4.81445312	-2.37792969	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00030015	-49.06295395	-49.06103516	0.16036953	5.18835354	-2.26562500	4.81445312	-2.36816406	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00033350	-49.02005768	-48.83632660	0.16036953	-5.71154881	-2.27050781	4.81445312	-2.37304687	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
