[General]
Dat File Version=	4
Specimen Group=
Component=
Material=	HC550 980DPD+Z
Operator Name=	wANGCHEN
Comments=
Test Date=	15/10/2012
Test Time=	09:58:16
Setup File=	C:\Program Files\Instron\HighRate\Tensile Test\Test Files\120301 -1fa.tst
Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Tension 1 Valve.cal
Velocity Calibration File Date Modified=	27/03/2012 12:55:02
Transducer Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Kistler_Tens100kN.tcl
Transducer Calibration File Date Modified= 	04/06/2012 15:02:05
Geometry Type=	0
Direct Area=30.150000	~mm²
Gauge Length=	20.0	~mm
Trigger Type=	Analog
Trigger Channel=	Position
Trigger Level=	-10.000000
Test Direction=	Tension
Actuator Displacement=	200.000000
Velocity=	5.000000
VHS Profiler=	OFF
VHS Profiler File=
Unit System=	0
Load Units=	kN
Extension Units=	mm
Accelerometer Units=	g
Drive Units=	V
Time Units=	s
Numeric Separator=	.
Fiedler Header=	Strain
Number of Pretriggers=	1200
First Pass Filter=	500
Second Pass Filter=	500
Filter Average=	5.000000
Use Second Pass=	False
Time Column=	0
Position Column=	2
Load Column=	3
Accelerometer Column=	4
Trigger Column=	6
Extensometer Column=	9
Position Filtered Column=	1
Valve Drive Column=	5
[Calibration]
Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
15.340000	15.340000	23.300000	-1116.150000	1.000000	1.000000	1.000000	1.000000	0.48749951	0.17222408	0.61384512	2.43749755	60.78833466
0.000000	0.000000	-0.002000	-0.010000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V
[Start of Data]
Time	Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
s	mm	mm	kN	g	V	V	V	V	mm	mm	mm	%	1/s
0.00000000	-48.87789917	-48.91123199	0.50167811	5.18835354	-4.56542969	4.80957031	-4.56054687	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00000665	-48.84457016	-48.83632660	-0.52224767	-16.61145210	-4.55566406	4.80957031	-4.58496094	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00001330	-48.81124496	-48.76142502	0.27413908	-0.26159766	-4.56054687	4.80468750	-4.58007812	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00001995	-48.77791595	-48.76142502	0.16036953	-16.61145210	-4.56542969	4.80468750	-4.61425781	-0.12207031	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00002660	-48.74457932	-48.76142502	0.27413908	5.18835354	-4.56542969	4.80468750	-4.58007812	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00003325	-48.71123505	-48.76142502	-0.18093906	5.18835354	-4.56542969	4.80468750	-4.58007812	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00003990	-48.67788315	-48.68652344	-0.18093906	26.98815727	-4.57519531	4.80957031	-4.58007812	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00004655	-48.64452744	-48.76142502	0.27413908	10.63830471	-4.56054687	4.80468750	-4.58984375	-0.10742187	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00005320	-48.61118317	-48.98613358	0.27413908	-0.26159766	-4.56054687	4.80468750	-4.54101562	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00005985	-48.57786942	-49.06103516	0.16036953	-5.71154881	-4.56054687	4.80957031	-4.56054687	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00006650	-48.54460144	-48.68652344	-0.06716953	-11.16149998	-4.56542969	4.80957031	-4.58007812	-0.08789062	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00007315	-48.51138687	-48.76142502	0.50167811	10.63830471	-4.59472656	4.80957031	-4.59472656	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00007980	-48.47822952	-48.53672028	0.16036953	-0.26159766	-4.56054687	4.80957031	-4.58496094	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00008645	-48.44511795	-48.61162186	0.27413908	16.08825493	-4.56542969	4.80468750	-4.58496094	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00009310	-48.41205978	-48.53672028	0.16036953	5.18835354	-4.56054687	4.80957031	-4.59960937	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00009975	-48.37904739	-48.38691330	0.27413908	-0.26159766	-4.57031250	4.80957031	-4.59472656	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00010640	-48.34607697	-48.23711014	0.16036953	-11.16149998	-4.57031250	4.80957031	-4.58496094	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00011305	-48.31312561	-48.16220856	0.16036953	-0.26159766	-4.56054687	4.80468750	-4.59472656	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00011970	-48.28017426	-47.71279144	0.84298670	-0.26159766	-4.58007812	4.80468750	-4.58007812	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00012635	-48.24720383	-48.23711014	0.16036953	-5.71154881	-4.56054687	4.80468750	-4.60449219	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00013300	-48.21421432	-48.38691330	0.16036953	-5.71154881	-4.56542969	4.80468750	-4.61425781	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00013965	-48.18120575	-48.31201172	0.27413908	-22.06140327	-4.56542969	4.80957031	-4.60449219	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00014630	-48.14817810	-48.08730316	0.50167811	-0.26159766	-4.57031250	4.80957031	-4.64355469	-0.04394531	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00015295	-48.11513901	-48.08730316	-0.74978673	-11.16149998	-4.56054687	4.81445312	-4.62890625	-0.04882812	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00015960	-48.08208084	-48.23711014	0.16036953	10.63830471	-4.56054687	4.80957031	-4.61425781	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00016625	-48.04901505	-48.31201172	0.16036953	5.18835354	-4.56054687	4.80468750	-4.63378906	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
