[General]
Dat File Version=	4
Specimen Group=
Component=	HC550 980DPD+Z
Material=	Steel
Operator Name=	WANGCHEN
Comments=
Test Date=	15/10/2012
Test Time=	13:29:01
Setup File=	C:\Program Files\Instron\HighRate\Tensile Test\Test Files\120301 -2fa.tst
Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Tension 2 Valve.cal
Velocity Calibration File Date Modified=	06/04/2012 10:25:55
Transducer Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Kistler_Tens100kN.tcl
Transducer Calibration File Date Modified= 	04/06/2012 15:02:05
Geometry Type=	0
Direct Area=30.150000	~mm²
Gauge Length=	20.0	~mm
Trigger Type=	Analog
Trigger Channel=	Position
Trigger Level=	-15.000000
Test Direction=	Tension
Actuator Displacement=	200.000000
Velocity=	15.000000
VHS Profiler=	OFF
VHS Profiler File=
Unit System=	0
Load Units=	kN
Extension Units=	mm
Accelerometer Units=	g
Drive Units=	V
Time Units=	s
Numeric Separator=	.
Fiedler Header=	Strain
Number of Pretriggers=	1200
First Pass Filter=	500
Second Pass Filter=	500
Filter Average=	5.000000
Use Second Pass=	False
Time Column=	0
Position Column=	2
Load Column=	3
Accelerometer Column=	4
Trigger Column=	6
Extensometer Column=	9
Position Filtered Column=	1
Valve Drive Column=	5
[Calibration]
Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
15.340000	15.340000	23.300000	-1116.150000	1.000000	1.000000	1.000000	1.000000	0.69796255	0.21638074	0.82461806	3.48981274	156.36361666
0.000000	0.000000	-0.002000	-0.010000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V
[Start of Data]
Time	Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
s	mm	mm	kN	g	V	V	V	V	mm	mm	mm	%	1/s
0.00000000	-51.57750702	-51.60771561	0.72921717	5.18835354	-5.54687500	4.79980469	-5.54687500	-5.04882812	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
0.00000220	-51.54729462	-51.45790863	0.16036953	-38.41125488	-5.51757812	4.80957031	-5.56640625	-5.07324219	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
0.00000440	-51.51708603	-51.23320389	0.72921717	10.63830471	-5.52734375	4.79980469	-5.54687500	-5.06347656	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
0.00000660	-51.48687363	-51.45790863	0.16036953	-16.61145210	-5.51757812	4.80468750	-5.56152344	-5.05859375	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
0.00000880	-51.45666504	-51.38300705	0.16036953	-5.71154881	-5.52246094	4.79980469	-5.55175781	-5.07324219	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
0.00001100	-51.42645264	-51.30810547	0.16036953	-32.96130371	-5.52734375	4.79492187	-5.50781250	-5.01464844	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
0.00001320	-51.39624405	-51.38300705	0.16036953	-16.61145210	-5.52246094	4.80468750	-5.55664062	-5.07324219	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
0.00001540	-51.36603165	-51.30810547	0.04660000	-16.61145210	-5.51757812	4.79980469	-5.54687500	-5.06835937	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
0.00001760	-51.33581924	-51.08339691	0.16036953	-11.16149998	-5.51269531	4.79980469	-5.55664062	-5.07324219	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
0.00001980	-51.30560303	-50.93359375	0.04660000	-16.61145210	-5.52246094	4.80468750	-5.55175781	-5.06347656	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
0.00002200	-51.27538681	-51.00849533	-0.18093906	-5.71154881	-5.51757812	4.79980469	-5.56152344	-5.07812500	0.00000000	0.00000000	0.00000000	0.00000000	24.35950332
