[General]
Dat File Version=	4
Specimen Group=
Component=
Material=	HC550 980DPD+Z
Operator Name=	wANGCHEN
Comments=
Test Date=	15/10/2012
Test Time=	09:54:36
Setup File=	C:\Program Files\Instron\HighRate\Tensile Test\Test Files\120301 -1fa.tst
Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Tension 1 Valve.cal
Velocity Calibration File Date Modified=	27/03/2012 12:55:02
Transducer Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Kistler_Tens100kN.tcl
Transducer Calibration File Date Modified= 	04/06/2012 15:02:05
Geometry Type=	0
Direct Area=30.150000	~mm²
Gauge Length=	20.0	~mm
Trigger Type=	Analog
Trigger Channel=	Position
Trigger Level=	-10.000000
Test Direction=	Tension
Actuator Displacement=	200.000000
Velocity=	5.000000
VHS Profiler=	OFF
VHS Profiler File=
Unit System=	0
Load Units=	kN
Extension Units=	mm
Accelerometer Units=	g
Drive Units=	V
Time Units=	s
Numeric Separator=	.
Fiedler Header=	Strain
Number of Pretriggers=	1200
First Pass Filter=	500
Second Pass Filter=	500
Filter Average=	5.000000
Use Second Pass=	False
Time Column=	0
Position Column=	2
Load Column=	3
Accelerometer Column=	4
Trigger Column=	6
Extensometer Column=	9
Position Filtered Column=	1
Valve Drive Column=	5
[Calibration]
Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
15.340000	15.340000	23.300000	-1116.150000	1.000000	1.000000	1.000000	1.000000	0.53895760	0.17394002	0.65759391	2.69478799	94.52637579
0.000000	0.000000	-0.002000	-0.010000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V
[Start of Data]
Time	Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
s	mm	mm	kN	g	V	V	V	V	mm	mm	mm	%	1/s
0.00000000	-48.72859955	-48.76142502	0.16036953	-11.16149998	-4.54101562	4.80468750	-4.59472656	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00000665	-48.69577408	-48.68652344	0.16036953	-5.71154881	-4.56054687	4.81445312	-4.59472656	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00001330	-48.66296005	-48.61162186	-0.06716953	-32.96130371	-4.55078125	4.80957031	-4.59472656	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00001995	-48.63014984	-48.76142502	0.16036953	-5.71154881	-4.56054687	4.81445312	-4.59472656	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00002660	-48.59734344	-48.76142502	0.04660000	-0.26159766	-4.55078125	4.80957031	-4.59960937	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00003325	-48.56454468	-48.61162186	0.27413908	-0.26159766	-4.55566406	4.81445312	-4.60449219	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00003990	-48.53175354	-48.46181488	0.16036953	-11.16149998	-4.56054687	4.80957031	-4.59472656	-0.10253906	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00004655	-48.49897003	-48.61162186	0.50167811	32.43811035	-4.55566406	4.80957031	-4.59960937	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00005320	-48.46619034	-48.46181488	0.16036953	-5.71154881	-4.56054687	4.80957031	-4.56054687	-0.03417969	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00005985	-48.43341446	-48.23711014	0.16036953	-5.71154881	-4.56054687	4.80468750	-4.59960937	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00006650	-48.40063477	-48.16220856	0.27413908	-22.06140327	-4.56054687	4.80468750	-4.60449219	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00007315	-48.36783218	-48.16220856	0.50167811	10.63830471	-4.56054687	4.80957031	-4.56542969	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00007980	-48.33500671	-48.38691330	-0.29470858	-11.16149998	-4.53613281	4.80957031	-4.58496094	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00008645	-48.30215454	-48.31201172	0.16036953	-0.26159766	-4.56542969	4.81445312	-4.59472656	-0.08789062	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00009310	-48.26928329	-48.38691330	0.16036953	5.18835354	-4.56542969	4.80957031	-4.60449219	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00009975	-48.23639679	-48.38691330	0.16036953	-5.71154881	-4.56542969	4.80957031	-4.60937500	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00010640	-48.20350647	-48.16220856	-0.18093906	-11.16149998	-4.55566406	4.80957031	-4.59960937	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00011305	-48.17061615	-48.08730316	0.27413908	-11.16149998	-4.58496094	4.80957031	-4.60449219	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00011970	-48.13771820	-48.01240158	0.04660000	-5.71154881	-4.56054687	4.80468750	-4.59472656	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00012635	-48.10481644	-48.31201172	0.16036953	-0.26159766	-4.56054687	4.80957031	-4.59960937	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00013300	-48.07191849	-48.38691330	0.04660000	-0.26159766	-4.56054687	4.80957031	-4.61914062	-0.04394531	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00013965	-48.03903580	-48.23711014	0.27413908	-11.16149998	-4.57031250	4.80957031	-4.60937500	-0.04394531	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00014630	-48.00619125	-48.31201172	0.04660000	-5.71154881	-4.56054687	4.80468750	-4.59960937	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
