位移,载荷,拉伸应变,拉伸应力,真应变,真应力,横向位移 1,横向应变 1
(mm),(N),(mm/mm),(MPa),(mm/mm),(Pa),(mm),(mm/mm)
0.00688,236.11097,-0.00002,7.87037,-0.00002,7870189.36780,0.00209,0.00018
0.00727,236.92544,0.00002,7.89751,0.00002,7897643.15012,-0.00050,-0.00004
0.00977,267.57119,-0.00006,8.91904,-0.00006,8918516.82145,-0.00070,-0.00006
0.01106,301.17484,-0.00005,10.03916,-0.00005,10038650.15761,0.00043,0.00004
0.01226,335.01191,-0.00003,11.16706,-0.00003,11166705.55562,0.00133,0.00011
0.01325,367.55623,-0.00001,12.25187,-0.00001,12251709.09670,0.00208,0.00018
0.01425,402.58057,0.00002,13.41935,0.00002,13419591.20495,0.00173,0.00015
0.01525,439.06216,0.00005,14.63541,0.00005,14636133.73329,0.00132,0.00011
0.01624,476.22793,0.00007,15.87426,0.00007,15875321.76478,0.00125,0.00011
0.01734,513.68759,0.00008,17.12292,0.00008,17124333.74262,0.00119,0.00010
0.01814,543.82635,0.00008,18.12754,0.00008,18129052.57499,0.00114,0.00010
0.01883,574.04586,0.00008,19.13486,0.00008,19136447.73243,0.00109,0.00009
0.01963,604.07100,0.00008,20.13570,0.00008,20137373.78400,0.00077,0.00007
0.02053,640.92390,0.00008,21.36413,0.00008,21365931.49870,-0.00004,0.00000
0.02132,676.75747,0.00009,22.55858,0.00009,22560635.08307,-0.00063,-0.00005
0.02212,711.45473,0.00011,23.71516,0.00011,23717719.02956,-0.00077,-0.00007
0.02292,744.90746,0.00013,24.83025,0.00013,24833451.24939,-0.00046,-0.00004
0.02362,776.99353,0.00016,25.89978,0.00016,25903861.19527,0.00073,0.00006
0.02421,807.31912,0.00018,26.91064,0.00018,26915583.54126,0.00174,0.00015
0.02501,841.33837,0.00021,28.04461,0.00021,28050525.82134,0.00255,0.00022
0.02571,872.80255,0.00022,29.09342,0.00022,29099892.23528,0.00266,0.00023
0.02641,906.24429,0.00022,30.20814,0.00022,30214795.31157,0.00240,0.00021
0.02720,940.16604,0.00017,31.33887,0.00017,31344150.72578,0.00290,0.00025
0.02800,971.11631,0.00012,32.37054,0.00012,32374324.56908,0.00315,0.00027
0.02880,1004.02031,0.00010,33.46734,0.00010,33470709.96801,0.00277,0.00024
0.02960,1035.33892,0.00013,34.51130,0.00013,34515746.05334,0.00236,0.00020
0.03039,1065.40909,0.00017,35.51364,0.00017,35519624.97988,0.00212,0.00018
0.03129,1098.26876,0.00018,36.60896,0.00018,36615617.44454,0.00153,0.00013
0.03219,1131.46901,0.00016,37.71563,0.00016,37721827.53967,0.00098,0.00008
0.03298,1161.95474,0.00016,38.73182,0.00016,38737883.24402,0.00103,0.00009
0.03388,1193.05141,0.00017,39.76838,0.00017,39774955.90822,0.00149,0.00013
0.03488,1225.09431,0.00017,40.83648,0.00017,40843216.86401,0.00172,0.00015
0.03577,1258.22537,0.00015,41.94085,0.00015,41947212.54329,0.00116,0.00010
0.03657,1288.63063,0.00015,42.95435,0.00015,42960990.55401,0.00059,0.00005
0.03757,1319.81531,0.00017,43.99384,0.00017,44001165.28523,0.00022,0.00002
0.03846,1352.65859,0.00018,45.08862,0.00018,45096748.60220,-0.00021,-0.00002
0.03926,1385.59267,0.00019,46.18642,0.00019,46195404.98882,-0.00068,-0.00006
0.04006,1418.01238,0.00022,47.26708,0.00022,47277308.21794,-0.00069,-0.00006
0.04096,1449.85691,0.00024,48.32856,0.00024,48340317.53898,0.00015,0.00001
0.04175,1481.58344,0.00027,49.38612,0.00027,49399382.07608,0.00029,0.00003
0.04255,1513.01473,0.00029,50.43382,0.00029,50448629.08118,0.00000,0.00000
0.04335,1543.94498,0.00031,51.46483,0.00031,51480955.26297,-0.00017,-0.00001
0.04414,1574.45390,0.00031,52.48180,0.00031,52498261.37401,0.00070,0.00006
0.04494,1605.00892,0.00028,53.50030,0.00028,53515276.60620,0.00150,0.00013
0.04574,1638.69746,0.00026,54.62325,0.00026,54637408.18768,0.00133,0.00011
0.04654,1671.06744,0.00027,55.70225,0.00027,55717332.91349,0.00090,0.00008
0.04733,1701.89627,0.00028,56.72987,0.00028,56745796.08329,0.00120,0.00010
0.04823,1732.51759,0.00026,57.75059,0.00026,57765828.87701,0.00186,0.00016
0.04903,1763.52151,0.00024,58.78405,0.00024,58798236.06394,0.00191,0.00016
